stn_code,state,location,type,so2,no2,spm,Date
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.9,14.1,133,01-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,5.6,11.8,82,02-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.3,19.3,111,03-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.9,8.2,118,04-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.5,12.1,135,05-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.9,10.2,80,06-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4,9.9,179,07-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,12.4,11.5,58,08-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4,12.3,99,09-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,11.5,270,10-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,44.8,13.7,97,11-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.1,17.8,167,12-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.7,11.3,145,13-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,20.6,13.6,75,14-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",20.4,27.5,212,15-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.9,7.2,93,16-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.2,18.6,61,17-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",22.3,35.9,255,18-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.5,28,197,19-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.2,10.4,148,20-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,28.7,16.2,77,21-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",18.7,42.2,125,22-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.5,18,330,23-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,20.4,12.6,93,24-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",5.2,41.3,287,25-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.5,12.2,241,26-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,4.8,8.4,85,27-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.7,12.4,283,28-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,21.2,11.5,108,29-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4.9,15.3,234,30-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,17.7,14,121,31-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12.3,38.6,219,01-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.5,11.9,179,02-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,3.1,7.5,84,03-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3,19,154,04-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.2,10,150,05-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.9,9.2,67,06-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.5,17.3,128,07-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.5,12.5,119,08-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.8,9.8,71,09-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.5,12.6,98,10-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.6,12.7,172,11-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,13.3,11.9,56,12-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,23.4,120,13-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.5,15.5,135,14-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,12.3,12.2,83,15-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.2,25.7,158,16-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8,8.3,163,17-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,14.6,12.9,103,18-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",18.8,39,232,19-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.9,11.4,149,20-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.2,18.4,129,21-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,47,242,22-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,34.1,271,23-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12.9,14.7,180,24-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,24.5,11.5,118,25-02-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.8,9.7,171,26-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,14.4,10.4,122,27-02-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",14.1,37.8,248,28-02-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,22.4,10.2,159,01-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",14.1,20.8,179,02-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12.4,38,267,03-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.3,14.2,175,04-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,33.2,249,05-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,9.1,8.2,152,06-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.2,27.6,192,07-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.3,9,131,08-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.3,13,115,09-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.5,10.2,,10-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,9.9,11.6,,11-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8,44.8,,12-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.1,13.4,,13-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.7,7.9,,14-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.9,33.9,,15-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.4,11.8,,16-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.4,7.5,,17-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.9,32.6,,18-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.1,13.4,,19-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,6.8,,20-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,31.6,,21-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,7.9,,22-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,8.8,,23-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,30.9,,24-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,9.6,,25-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,6.3,,26-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,17.7,,27-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,11.7,,28-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,5.8,,29-03-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,11.1,,30-03-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,13.6,,31-03-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,8.2,,01-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,11.2,,02-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,9.3,,03-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,12.8,,04-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,11.1,,05-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,7.8,,06-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,7.2,,07-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,18.6,,08-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,8,,09-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.9,10,,10-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.5,41.1,,11-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",17.8,15.2,,12-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,18.1,16.3,,13-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",34.1,48.9,,14-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,9.7,9,98,15-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",51.6,63,130,16-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12.5,15.5,144,17-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.8,42.2,98,18-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.6,9.4,191,19-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,10.7,5.2,58,20-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.1,10.5,91,21-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",25.4,48.4,124,22-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12.5,16.8,240,23-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",28.3,39.3,125,24-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.9,8.3,94,25-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.7,8.5,259,26-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.1,15.4,238,27-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",15.2,32.4,208,28-04-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.4,5.2,107,29-04-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,9.9,132,30-04-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.4,22.6,93,01-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.3,7.6,46,02-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.3,5.2,44,03-05-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",11,17.9,76,04-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.3,8.1,128,05-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.3,5.9,60,06-05-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.2,17,62,07-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12.9,11,123,08-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,8.2,11.2,31,09-05-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",31.7,31.4,200,10-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",16.7,10.3,167,11-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.6,16.6,200,12-05-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",36.8,44.7,262,13-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,13.9,14.4,97,14-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.9,17.3,82,15-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.3,16.2,127,16-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",11,20.5,134,17-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.6,14,115,18-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.5,15.6,168,19-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12.8,18.4,120,20-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",14.8,15.3,120,21-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",19,24.2,146,22-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.9,10.9,63,23-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",11.5,7.9,232,24-05-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",14.3,20.4,151,25-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,10.1,11.1,39,26-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,14.4,11,143,27-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,9.1,15.3,102,28-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.9,11.4,70,29-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.1,8.6,75,30-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,10.7,22.5,122,31-05-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.5,15.7,82,01-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,22.1,18.2,146,02-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,8.2,13.3,128,03-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,16.9,16.1,62,04-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,10.5,20.1,88,05-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,9.1,14.8,75,06-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",38.1,34.8,218,07-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",28.1,38.9,240,08-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",18.1,39,251,09-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",27,35.4,184,10-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.8,21.4,175,11-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.7,37.6,209,12-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",10.1,32.1,145,13-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",10.8,31.8,238,14-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,26.6,122,15-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",17.7,36.8,143,16-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",41,35.4,171,17-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",11.4,62.3,243,18-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,8.4,10.4,52,19-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.5,36,161,20-06-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.5,14.9,100,21-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.9,7.2,50,22-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",17,43.2,233,23-06-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.4,21.1,139,24-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.1,10.8,110,25-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",15,44.2,280,26-06-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13,19.3,174,27-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.9,8.7,50,28-06-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",11.9,40.5,237,29-06-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.3,10.8,130,30-06-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,17.3,14.6,109,01-07-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",19,22.2,232,02-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12.3,15.5,260,03-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.9,7.7,71,04-07-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",14,32,184,05-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.9,12.7,189,06-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,9.6,8.5,67,07-07-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",19.5,38,331,08-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",16.1,13.6,175,09-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.3,12,34,10-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",14.6,17.7,121,11-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,12.9,7.5,40,12-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.3,17.1,112,13-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,13.5,6.5,80,14-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",17.8,9.9,142,15-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,27.3,15.8,74,16-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",36.5,15,133,17-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,20.8,10.1,72,18-07-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",37.2,26.5,215,19-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",34.1,10.7,109,20-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,12.3,9,78,21-07-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",22.1,28.4,182,22-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",20,16,111,23-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.6,10,95,24-07-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",11.9,23.7,215,25-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",15.6,22.7,192,26-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,13.6,10.2,143,27-07-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",11.2,19.2,203,28-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",16.2,21.8,216,29-07-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,12.3,8,76,30-07-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12,14.7,115,31-07-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.2,15.2,87,01-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.6,9.2,99,02-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.5,13.1,126,03-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.7,18.2,128,04-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.1,5.6,54,05-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9,8.1,88,06-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.9,14.6,112,07-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.2,4,59,08-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.3,8,105,09-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.6,9.7,118,10-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.3,6.8,50,11-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",12,10.9,91,12-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.5,6.5,144,13-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,12.3,5,54,14-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",21.2,20.5,111,15-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.9,6.3,134,16-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.2,10.4,64,17-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.4,26.7,97,18-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",15,11.5,121,19-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.9,14,107,20-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,10.4,60,21-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.9,28.8,88,22-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,8.6,56,23-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.1,25.1,90,24-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.2,11.3,86,25-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,18.7,124,26-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.6,31.6,226,27-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,25.4,195,28-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,14,90,29-08-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.7,49.1,176,30-08-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,15.6,144,31-08-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,15.7,85,01-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.9,63.6,159,02-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.9,28.2,120,03-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.5,13.9,86,04-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.8,60.1,162,05-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.7,26.3,150,06-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7,16.3,88,07-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.2,62.2,81,08-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.2,34.8,137,09-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.2,11.4,101,10-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9,43.8,131,11-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7,25.7,168,12-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.1,10.1,122,13-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.4,36.7,179,14-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.4,13.4,177,15-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.4,16.9,70,16-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",14.2,66,120,17-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,16.3,156,18-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7,47.6,125,19-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.2,20.1,58,20-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.7,21.1,150,21-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,9.9,15.3,71,22-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",23.3,60.3,174,23-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13,16.6,123,24-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,10,20.4,64,25-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",42.3,82.4,239,26-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",10.3,19.2,149,27-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.9,21.1,173,28-09-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,8.7,21.9,88,29-09-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",21,54.1,276,30-09-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.4,12.1,117,01-10-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.6,15.1,59,02-10-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",43.8,37.7,213,03-10-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",18.2,24,216,04-10-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,14.8,16.7,84,05-10-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",17.5,37.4,268,06-10-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",14.3,21.6,301,07-10-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,9.4,13.4,144,08-10-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",21.1,35.4,388,09-10-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.1,17.8,199,10-10-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.7,6.6,118,11-10-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",10.5,22.5,199,12-10-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",10.4,21.3,126,13-10-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6,4.7,100,14-10-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.7,44,206,15-10-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.1,26.5,153,16-10-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.8,9.3,72,17-10-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",9.3,22.8,117,18-10-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.8,20.2,136,19-10-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.6,8.1,90,20-10-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",11.2,45.2,135,21-10-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8,22.7,115,22-10-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,6.5,9.7,79,23-10-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",16,34.1,126,24-10-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8,7.6,70,25-10-2015
